Saumon à l'échalote,"Ingrédients : saumon frais,échalote,crème fraîche,vinaigre balsamique,moutarde,beurre ,sel,eau.Mettre les échalotes avec le beurre dans une poêle. Mettre les pavés de saumon quand les échalotes sont...",25 min,1,true
Verrines avocats crevettes et fromage frais,"Ingrédients : avocat bien mûrs,crevette moyennes décortiquées,citron vert,fromage frais type carrés frais (150 g en tout),crème,ciboulette fraîche.Ecrasez avec une fourchette la chair de 2 avocats et arrosez-les...",45 min,2,false
Tarte thon et tomate,"Ingrédients : pâte brisée,crème épaisse,concentré de tomates,thon en boîte,sel,herbes de Provence,fromage râpé,oeuf.Préchauffer le four à 210°C (thermostat 7).Etaler la pâte brisée et la piquer avec une...",35 min,1,false
